STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,SEO,Socio-economic objectives,FUNDMODE,Funding mode,TRANSCOORD,Transnationally coordinated research,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,AUX_OBS_STATUS,Aux observation status,AUX_OBS_STATUS_2,Aux observation status 2,AUX_OBS_STATUS_3,Aux observation status 3,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,BASE_PER,Base Period,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,USD,US dollar,V,Current prices,2000,,2850.414837,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,USD,US dollar,V,Current prices,1999,,2751.840857,,B,Time series break,D,Definition differs,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,USD,US dollar,V,Current prices,1985,,1349.99523,,B,Time series break,D,Definition differs,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,USD,US dollar,V,Current prices,1984,,1211.755094,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,USD,US dollar,V,Current prices,1983,,1108.472417,,B,Time series break,D,Definition differs,E,Estimated value,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,USD,US dollar,V,Current prices,1982,,1295.363844,,E,Estimated value,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,USD,US dollar,V,Current prices,1981,,1169.168262,,B,Time series break,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,USD,US dollar,V,Current prices,1998,,2630.156997,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,USD,US dollar,V,Current prices,1997,,2527.270774,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,USD,US dollar,V,Current prices,1996,,2452.749038,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,USD,US dollar,V,Current prices,1995,,2320.939981,,B,Time series break,D,Definition differs,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,USD,US dollar,V,Current prices,1994,,2206.761464,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,USD,US dollar,V,Current prices,1993,,2110.655757,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
